date,salle,organisateur,debut,fin,motif,nb_participants_prevu
2026-04-20,C.4117,Émilie Muller,08:00,10:00,Comité de pilotage,2
2026-04-20,A.0293,Laurent Richard,08:30,09:00,Présentation résultats,9
2026-04-20,B.0179,Claire Petit,09:15,09:45,Sprint planning,9
2026-04-20,B.0179,Pauline Mathieu,10:00,11:00,Réunion équipe,8
2026-04-20,C.3210,Julie Guerin,10:30,11:30,Brainstorming,4
2026-04-20,C.2324,Aurélie Durand,11:45,12:45,Demo produit,5
2026-04-20,B.1366,Pierre Simon,11:45,12:15,Réunion équipe,2
2026-04-20,A.2396,Maxime Blanc,12:15,13:15,Brainstorming,3
2026-04-20,B.1366,Romain Simon,13:30,15:30,Rétrospective,4
2026-04-20,C.3210,Émilie Muller,13:45,15:45,Sprint planning,6
2026-04-20,B.0179,Sylvie Lefevre,14:30,15:15,Rétrospective,12
2026-04-20,C.2324,Justine Chevalier,15:30,17:30,Réunion équipe,10
2026-04-20,C.1221,Antoine Robert,15:45,16:45,Brainstorming,4
2026-04-20,A.0415,Pauline Chevalier,16:00,19:00,Onboarding,11
2026-04-20,A.0293,Sarah Gautier,16:30,17:00,Rétrospective,9
2026-04-21,C.2324,Sophie Michel,08:00,10:00,Présentation résultats,7
2026-04-21,A.0293,Pauline Chevalier,08:00,08:45,Réunion 1-1,3
2026-04-21,A.2396,Manon Lefebvre,08:30,09:00,Réunion 1-1,3
2026-04-21,B.1366,Lucas Henry,08:45,10:15,Atelier client,4
2026-04-21,C.4117,Sébastien Lefebvre,09:00,09:45,Revue d'architecture,5
2026-04-21,C.3210,Cédric Durand,09:45,11:15,Comité de pilotage,2
2026-04-21,C.4117,Claire Mercier,10:00,10:45,Sprint planning,4
2026-04-21,A.2396,Vincent Muller,10:00,10:30,Entretien candidat,3
2026-04-21,C.1221,Antoine Robert,10:15,10:45,Revue d'architecture,2
2026-04-21,B.1366,Émilie Richard,10:30,12:00,Atelier client,3
2026-04-21,B.0179,Florian Dupuis,10:45,12:15,Demo produit,10
2026-04-21,C.4117,Thomas Nicolas,10:45,12:15,Onboarding,3
2026-04-21,C.3210,Caroline Blanc,11:15,11:45,Sprint planning,8
2026-04-21,C.2324,Benoit Fontaine,12:00,13:00,Formation interne,10
2026-04-21,B.0179,Christophe Bonnet,12:30,14:30,Demo produit,7
2026-04-21,A.0293,Romain Moreau,12:45,14:45,Rétrospective,3
2026-04-21,B.1415,Isabelle Girard,13:00,15:00,Rétrospective,6
2026-04-21,C.2324,Élodie Roussel,14:00,15:00,Brainstorming,10
2026-04-21,C.1221,Justine Mathieu,14:15,15:15,Brainstorming,3
2026-04-21,C.4117,Pauline Mathieu,14:30,15:00,Formation interne,4
